iter	Passed	Remaining
0	62	62696
1	63	31473
2	63	21107
3	63	15910
4	64	12771
5	64	10676
6	64	9179
7	65	8060
8	65	7186
9	65	6486
10	65	5915
11	66	5439
12	66	5036
13	66	4691
14	66	4392
15	67	4133
16	67	3901
17	67	3695
18	68	3511
19	68	3344
20	68	3193
21	68	3056
22	69	2932
23	69	2817
24	69	2711
25	69	2614
26	70	2523
27	70	2440
28	70	2362
29	70	2289
30	71	2221
31	71	2157
32	71	2097
33	71	2040
34	72	1986
35	72	1936
36	72	1889
37	72	1844
38	73	1801
39	73	1760
40	73	1721
41	73	1684
42	74	1650
43	74	1617
44	74	1587
45	75	1556
46	75	1527
47	75	1498
48	75	1471
49	76	1445
50	76	1419
51	76	1395
52	76	1371
53	77	1349
54	77	1328
55	77	1307
56	77	1287
57	78	1267
58	78	1248
59	78	1230
60	78	1212
61	79	1195
62	79	1178
63	79	1162
64	79	1147
65	80	1132
66	80	1117
67	80	1103
68	80	1089
69	81	1076
70	81	1063
71	81	1050
72	81	1038
73	81	1026
74	82	1014
75	82	1002
76	82	991
77	82	980
78	83	969
79	83	959
80	83	949
81	83	939
82	84	928
83	84	918
84	84	909
85	84	900
86	85	892
87	85	883
88	85	875
89	85	867
90	86	859
91	86	851
92	86	843
93	86	836
94	86	828
95	87	821
96	87	814
97	87	807
98	87	800
99	88	793
100	88	786
101	88	780
102	88	773
103	89	767
104	89	761
105	89	755
106	89	749
107	90	743
108	90	737
109	90	732
110	90	726
111	91	721
112	91	716
113	91	710
114	91	705
115	91	700
116	92	695
117	92	690
118	92	685
119	92	681
120	93	676
121	93	671
122	93	667
123	93	662
124	94	658
125	94	654
126	94	649
127	94	645
128	95	641
129	95	637
130	95	633
131	95	629
132	95	625
133	96	621
134	96	618
135	96	614
136	96	610
137	97	607
138	97	603
139	97	600
140	97	596
141	98	592
142	98	589
143	98	586
144	98	582
145	99	579
146	99	576
147	99	572
148	99	569
149	100	566
150	100	563
151	100	560
152	100	557
153	100	554
154	101	551
155	101	548
156	101	545
157	101	542
158	102	540
159	102	537
160	102	534
161	102	531
162	102	528
163	103	526
164	103	523
165	103	520
166	103	518
167	104	515
168	104	513
169	104	510
170	104	508
171	105	505
172	105	503
173	105	500
174	105	498
175	106	496
176	106	494
177	106	492
178	106	489
179	107	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	476
185	108	474
186	108	472
187	108	470
188	109	468
189	109	466
190	109	464
191	109	462
192	110	460
193	110	458
194	110	456
195	110	454
196	111	452
197	111	450
198	111	448
199	111	446
200	111	444
201	112	443
